Field,Range,Description
Clostridiales bacterium VE202-14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-15 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-21 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-26 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-27 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridiales bacterium VE202-28 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile 2007855 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile 630 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile ATCC 9689 = DSM 1296 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile P28 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile R20291 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridioides difficile strain BR81 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium bornimense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium butyricum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium celatum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium celatum DSM 1785 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium cochlearium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium disporicum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium disporicum strain 2789STDY5608827 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium disporicum strain 2789STDY5834855 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium disporicum strain 2789STDY5834856 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium paraputrificum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium perfringens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium perfringens ATCC 13124 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium perfringens str. 13 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium perfringens strain FORC_003 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium perfringens strain JP55 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium phoceensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium phoceensis strain GD3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sartagoforme ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium saudiense strain JCC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. 1_1_41A1FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. 7_2_43FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. 7_3_54FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. ASF502 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. AT4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. ATCC BAA-442 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. BNL1100 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. BR31 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. CL-2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. D5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. DSM 4029 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. FS41 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. HGF2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. KLE 1755 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. KNHs214 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. L2-50 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. M62/1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. Marseille-P2414 sp. Marseille-P2414 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium sp. Marseille-P3244 sp. Marseille-P3244 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium thermarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium tyrobutyricum strain KCTC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium ventriculi ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Clostridium ventriculi strain 2789STDY5834858 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella aerofaciens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella aerofaciens ATCC 25986 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella intestinalis DSM 13280 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella sp. 4_8_47FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella sp. MS5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella sp. Marseille-P3245 sp. Marseille-P3245 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella stercoris DSM 13279 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella tanakaei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Collinsella tanakaei YIT 12063 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Comamonas kerstersii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacillus cateniformis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacillus sp. 3_3_56FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacillus sp. 8_1_38FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacillus sp. 8_2_54BFAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacillus sp. D6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacillus sp. D7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacter fastidiosus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacter fastidiosus NSB1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacter secundus strain 177 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprobacter sp. 2CBH44 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus comes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus eutactus ATCC 27759 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus eutactus strain 2789STDY5608829 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus eutactus strain 2789STDY5608843 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus eutactus strain 2789STDY5608888 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus eutactus strain 2789STDY5834963 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus sp. HPP0048 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Coprococcus sp. HPP0074 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium genitalium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium kefirresidentii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium matruchotii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium propinquum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium pseudodiphtheriticum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium segmentosum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium sp. HMSC073H12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium striatum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium tuberculostearicum SK141 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Corynebacterium tuscaniense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Criibacterium bergeronii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cronobacter sakazakii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cryptobacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cryptobacterium curtum DSM 15641 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cucumber green mottle mosaic virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cucurbit aphid borne yellows virus associated RNA (pseudo genus) ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cucurbit chlorotic yellows virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cucurbit yellow stunting disorder virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Culturomica massiliensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Culturomica massiliensis strain Marseille-P2698 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cupriavidus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cupriavidus metallidurans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium acnes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium acnes TypeIA2 P.acn17 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium acnes TypeIA2 P.acn31 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium acnes TypeIA2 P.acn33 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium acnes strain KCOM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium acnes strain PA_12_1_L1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Cutibacterium avidum strain DPC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Debaryomyces hansenii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Delftia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Delftia acidovorans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Delftia acidovorans SPH-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfobulbus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfobulbus oralis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio carbinolicus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio desulfuricans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio fairfieldensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio fairfieldensis strain CCUG ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio piger ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio piger isolate DESPIGER1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio sp. 3_1_syn3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio sp. 6_1_46AFAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio sp. G11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Desulfovibrio sp. Marseille-P3199 sp. Marseille-P3199 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister hominis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister invisus DSM 15470 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister massiliensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister pneumosintes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister pneumosintes strain F0677 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dialister succinatiphilus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dielma fastidiosa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dietzia alimentaria strain BP ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea formicigenerans 4_6_53AFAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea formicigenerans ATCC 27755 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea longicatena AGR2136 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea longicatena DSM 13814 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea longicatena strain 2789STDY5608851 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea longicatena strain 2789STDY5608866 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea longicatena strain 2789STDY5834914 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea longicatena strain 2789STDY5834961 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea sp. 5-2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea sp. AGR2135 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dorea sp. D27 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Drancourtella massiliensis strain GD1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Duncaniella sp. B8 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dysosmobacter ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Dysosmobacter welbionis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella lenta ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella lenta 1_1_60AFAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella lenta DSM 2243 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella sp. 1_3_56FAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella sp. HF-1101 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella sp. HGA1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eggerthella sp. YY7918 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Eisenbergiella tayi ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Elizabethkingia anophelis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Emergencia timonensis strain SN18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Entamoeba ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter asburiae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter bugandensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae EcWSU1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae P101 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae complex 'Hoffmann cluster IV' ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae complex sp. ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae complex sp. ECNIH7 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae complex sp. FDA-CDC-AR_0132 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae complex sp. FDA-CDC-AR_0164 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter cloacae strain UW5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter hormaechei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter hormaechei subsp. hormaechei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter hormaechei subsp. oharae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter hormaechei subsp. steigerwaltii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter hormaechei subsp. xiangfangensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter kobei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter ludwigii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter ludwigii strain EN-119 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter phage phiT5282H ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter roggenkampii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. CRENT-193 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. Crenshaw ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. DSM 30060 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. LU1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. ODB01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. RHBSTW-00422 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterobacter sp. RHBSTW-00975 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterocloster ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterocloster bolteae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus avium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus casseliflavus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus casseliflavus EC20 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus durans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus durans strain KLDS ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus durans strain KLDS6.0933 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis ARO1/DG ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis ATCC 29212 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis D32 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis OG1RF ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis R712 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis V583 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis str. Symbioflor 1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecalis strain KB1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium 10/96A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium ATCC 8459 = NRRL B-2354 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium DO ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium EnGen0004 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium EnGen0191 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium FB129-CNAB4 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium NEF1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium T110 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium isolate Hp_21-11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium isolate Hp_23-14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium isolate Hp_6-10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium isolate Hp_6-9 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium isolate Hp_74-d6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus faecium strain D344RRF isolate H ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus gallinarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus gilvus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus lactis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus raffinosus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus saccharolyticus strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus saccharolyticus subsp. saccharolyticus ATCC 43076 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus saigonensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Enterococcus sp. DA9 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
